"source","target","weight"
18,27,1
18,46,2
18,50,7
18,57,29
18,66,20
18,76,42
18,82,43
18,85,2
18,89,485
18,91,16
18,93,43
18,96,1
18,98,83
18,117,14
18,135,1
18,144,4
18,152,1
18,156,1
18,157,419
18,158,112
18,167,44
18,173,2
18,176,10
18,180,2
19,33,2
19,41,5
19,65,4
19,87,2
19,122,9
20,10,1
20,60,3
20,84,2
20,85,2
20,149,3
21,1,2
21,10,2
21,14,1
21,56,2
22,8,6
22,35,1
22,77,6
22,134,4
22,150,7
23,7,29
23,30,71
23,40,5
23,51,8
23,57,6
23,61,17
23,66,28
23,98,17
23,100,92
23,107,1
23,115,6
23,138,6
23,144,2
23,146,4
23,161,93
23,169,3
23,170,10
23,177,4
24,34,7
24,95,2
24,96,2
24,99,2
24,104,2
24,125,2
24,152,29
24,159,6
24,162,13
24,171,2
25,23,4
25,40,4
25,81,8
25,144,4
25,174,12
26,9,4
26,96,6
26,99,49
26,104,10
26,109,18
26,114,11
26,125,28
26,159,14
26,171,3
26,178,2
27,37,4
27,42,26
27,62,216
27,81,5
27,91,68
27,116,4
27,127,4
27,142,177
27,168,4
27,172,4
28,7,39
28,8,8
28,22,7
28,24,2
28,39,4
28,47,7
28,52,56
28,57,39
28,58,3
28,59,61
28,64,2
28,67,64
28,68,37
28,71,8
28,79,26
28,83,259
28,84,11
28,85,11
28,95,36
28,97,132
28,108,21
28,113,140
28,129,11
28,130,8
28,141,35
28,146,6
28,147,46
28,148,54
28,154,72
28,155,3
28,158,39
28,164,34
28,174,12
28,179,33
29,33,6
29,35,7
29,84,1
29,108,5
29,122,1
29,134,4
29,154,4
29,184,17
30,2,1
30,11,4
30,23,147
30,50,3
30,51,130
30,61,54
30,66,83
30,69,5
30,93,14
30,98,18
30,100,47
30,103,1
30,107,34
30,111,3
30,116,25
30,158,6
30,161,142
30,163,2
30,166,9
30,169,3
30,172,32
30,173,14
30,175,4
31,10,20
31,14,36
31,56,5
31,92,14
31,120,3
31,130,7
31,143,8
31,149,1
31,184,2
32,152,1
32,162,2
33,8,41
33,17,7
33,22,4
33,29,1
33,36,3
33,39,1
33,45,11
33,65,65
33,78,125
33,86,1
33,87,112
33,101,94
33,122,1
33,150,5
34,9,7
34,13,6
34,24,32
34,26,6
34,38,1
34,39,2
34,58,2
34,64,3
34,93,1
34,96,166
34,99,22
34,104,16
34,109,23
34,113,2
34,115,2
34,116,3
34,125,5
34,152,38
34,159,105
34,162,17
34,168,405
34,171,7
35,13,29
35,22,6
35,28,12
35,38,10
35,39,12
35,52,6
35,64,186
35,73,2
35,74,28
35,83,30
35,108,52
35,134,22
35,135,2
35,145,5
35,147,187
35,159,2
35,168,1
35,173,1
36,8,6
36,22,2
36,45,6
36,77,3
36,78,5
36,139,1
36,150,2
37,5,2
37,16,4
37,42,36
37,50,11
37,79,26
37,81,4
37,83,2
37,128,2
37,135,17
37,168,24
37,170,2
38,9,5
38,13,23
38,28,2
38,30,4
38,34,1
38,35,1
38,39,22
38,51,7
38,52,4
38,58,3
38,74,2
38,75,1
38,83,8
38,86,1
38,93,7
38,108,11
38,111,4
38,124,12
38,156,6
38,163,4
38,166,4
38,170,4
38,173,20
39,12,272
39,13,5
39,22,2
39,28,11
39,38,4
39,51,4
39,52,19
39,59,6
39,66,46
39,83,1
39,84,2
39,93,16
39,97,53
39,108,12
39,111,9
39,112,2
39,113,97
39,115,28
39,124,10
39,134,3
39,145,6
39,146,62
39,147,4
39,163,1
39,164,19
39,170,23
39,173,9
40,2,3
40,15,1
40,16,12
40,23,8
40,27,12
40,62,6
40,63,4
40,69,17
40,71,25
40,76,15
40,117,4
40,119,692
40,127,1
40,131,27
40,135,2
40,140,18
40,142,413
40,168,4
40,174,20
41,19,1
41,122,3
41,126,2
41,170,2
42,5,5
42,15,8
42,27,3
42,37,191
42,79,168
42,81,174
42,91,39
42,102,134
42,128,138
42,131,12
42,142,3
42,168,22
44,2,7
44,46,1
44,52,3
44,71,5
44,79,8
44,83,3
44,85,4
44,108,4
44,128,4
44,158,3
44,176,2
45,36,2
46,11,5
46,44,3
46,79,1
46,81,1
46,85,4
46,160,2
47,11,4
47,17,7
47,28,4
47,33,7
47,52,16
47,57,4
47,65,13
47,67,19
47,77,4
47,79,6
47,83,16
47,108,7
47,141,4
47,154,4
48,62,2
48,63,10
48,119,4
48,127,7
48,165,1
49,10,10
49,14,2
49,21,1
49,56,9
49,80,6
49,92,4
49,132,3
49,153,6
50,37,7
50,66,2
50,94,1
50,98,1
50,108,19
50,131,1
50,160,4
51,7,114
51,18,6
51,23,18
51,30,60
51,34,14
51,37,2
51,38,3
51,39,8
51,61,2
51,66,6
51,69,2
51,71,12
51,76,3
51,82,12
51,100,26
51,115,18
51,116,153
51,146,6
51,156,2
51,163,1
51,168,46
51,169,2
51,170,2
51,171,4
51,172,10
51,173,4
51,175,13
52,5,12
52,6,4
52,28,9
52,38,1
52,47,3
52,57,4
52,67,14
52,68,1
52,71,2
52,74,1
52,79,12
52,83,45
52,90,3
52,95,1
52,106,2
52,108,20
52,129,5
52,146,6
52,148,7
52,154,1
52,158,3
52,176,2
52,179,3
54,5,2
54,8,6
54,73,1
54,83,1
54,108,3
54,134,1
54,179,3
54,184,4
55,50,2
55,52,2
56,10,3
56,14,7
56,31,2
56,49,4
56,92,1
56,105,5
56,132,3
57,4,25
57,23,6
57,27,3
57,47,4
57,50,32
57,61,4
57,66,7
57,67,7
57,79,4
57,83,33
57,85,4
57,91,8
57,98,7
57,108,10
57,110,7
57,117,8
57,127,4
57,138,3
57,141,15
57,155,4
57,158,15
57,176,4
58,13,9
58,34,12
58,38,14
58,52,3
58,68,5
58,70,165
58,75,3
58,95,7
58,113,13
58,114,1
58,124,6
58,146,15
58,164,1
59,7,1
59,13,1
59,28,157
59,38,1
59,39,77
59,52,42
59,54,5
59,57,3
59,64,635
59,66,75
59,83,129
59,94,70
59,97,28
59,108,52
59,110,29
59,113,16
59,115,4
59,127,70
59,141,85
59,146,149
59,147,576
59,149,73
59,158,1
59,159,34
59,164,539
59,168,3
59,179,5
60,3,8
60,7,4
60,20,4
60,119,4
60,127,28
60,133,4
60,141,28
60,144,20
60,165,4
60,177,40
61,7,3
61,23,51
61,30,43
61,57,3
61,66,2
61,75,1
61,79,3
61,82,2
61,98,3
61,100,13
61,141,3
61,156,18
61,158,3
61,163,6
61,166,7
61,170,4
61,174,3
61,181,3
62,7,1
62,48,5
62,63,1
62,119,6
62,127,2
62,131,1
63,27,2
63,48,18
63,83,7
63,91,1
63,94,11
63,119,9
63,127,17
63,133,1
63,141,6
63,149,2
63,160,4
63,165,3
63,168,2
63,172,2
63,177,9
63,181,1
64,7,106
64,10,1
64,13,29
64,22,1
64,28,164
64,34,42
64,35,442
64,47,2
64,52,87
64,59,2712
64,66,2
64,68,3
64,73,1
64,74,197
64,83,142
64,86,1
64,90,7
64,94,4
64,96,2
64,97,2
64,99,5
64,104,5
64,108,132
64,110,63
64,113,2
64,125,4
64,127,3
64,130,3
64,134,1
64,137,25
64,141,47
64,145,2
64,146,1010
64,147,2889
64,149,552
64,159,50
64,164,117
64,168,91
64,171,5
64,179,2
64,182,5
65,17,4
65,33,2
65,77,4
65,122,1
65,126,4
66,18,3
66,23,24
66,28,1
66,30,2
66,39,2
66,51,6
66,93,9
66,113,13
66,115,9
66,124,2
66,141,4
66,146,18
66,156,8
66,158,1
66,161,6
66,170,18
67,5,10
67,28,14
67,47,11
67,52,27
67,54,4
67,57,9
67,68,25
67,79,16
67,83,29
67,97,3
67,106,2
67,108,7
67,113,7
67,124,5
67,127,6
67,129,131
67,141,6
67,147,3
67,148,38
67,154,9
67,155,4
67,158,3
67,164,5
67,179,39
68,5,1
68,6,4
68,7,1
68,24,5
68,28,7
68,34,1
68,35,1
68,38,4
68,52,5
68,54,7
68,58,4
68,73,4
68,74,4
68,75,1
68,83,4
68,90,4
68,108,5
68,115,8
68,116,8
68,129,8
68,134,1
68,147,4
68,148,13
68,152,2
68,154,4
68,159,1
68,162,4
68,164,1
69,2,2
69,16,2
69,40,8
69,51,1
69,173,4
70,9,2
70,13,2
70,23,2
70,39,2
70,58,44
70,113,2
70,124,2
70,166,3
70,173,2
71,2,20
71,16,6
71,28,4
71,40,18
71,44,19
71,51,2
71,52,8
71,68,4
71,69,9
71,76,6
71,83,9
71,95,3
71,100,4
71,102,1
71,108,1
71,158,4
71,173,4
71,174,1
73,6,6
73,52,4
73,54,1
73,68,1
73,74,1
73,75,2
73,83,8
73,94,1
73,99,2
73,108,5
73,124,2
73,134,1
73,148,1
73,154,1
73,162,1
73,170,1
73,179,1
74,6,4
74,13,3
74,28,9
74,35,7
74,38,11
74,39,1
74,52,38
74,58,26
74,64,10
74,73,1
74,83,15
74,90,1
74,95,41
74,106,2
74,108,17
74,124,3
74,129,8
74,134,1
74,147,29
74,148,12
74,154,1
74,159,1
74,162,13
74,182,5
75,5,1
75,6,85
75,24,18
75,28,64
75,38,88
75,52,104
75,58,95
75,67,6
75,68,7
75,70,10
75,73,14
75,74,89
75,79,1
75,83,80
75,90,14
75,95,97
75,106,5
75,108,80
75,129,91
75,147,15
75,148,94
75,152,18
75,154,14
75,162,92
75,164,6
75,178,1
75,182,33
76,2,4
76,18,9
76,23,1
76,40,6
76,51,2
76,93,1
76,135,2
77,17,8
77,54,1
77,86,1
77,134,2
77,150,1
78,8,1
78,33,8
78,36,2
78,45,2
78,87,6
78,101,3
79,2,7
79,3,2
79,5,107
79,6,9
79,11,1
79,37,129
79,42,54
79,44,2
79,46,2
79,47,11
79,50,3
79,52,47
79,57,8
79,66,4
79,67,47
79,71,8
79,81,72
79,83,162
79,85,4
79,90,1
79,97,7
79,100,79
79,102,35
79,106,53
79,108,18
79,127,4
79,128,206
79,134,1
79,140,12
79,141,8
79,155,4
79,158,11
79,160,6
79,169,19
79,179,12
80,33,5
80,39,3
80,92,3
80,100,1
80,126,1
80,132,3
80,143,3
80,149,2
80,153,3
81,5,23
81,8,3
81,11,8
81,25,4
81,37,42
81,42,6
81,46,1
81,79,32
81,82,2
81,85,2
81,94,3
81,102,33
81,117,3
81,128,32
81,140,3
81,180,12
82,11,6
82,18,12
82,51,10
82,81,3
82,158,8
82,181,3
83,2,21
83,3,18
83,4,10
83,5,24
83,6,3
83,7,35
83,10,8
83,11,18
83,17,27
83,18,18
83,19,18
83,22,20
83,24,2
83,28,169
83,31,18
83,33,18
83,37,4
83,38,2
83,40,18
83,41,18
83,44,8
83,46,8
83,47,54
83,48,18
83,50,19
83,52,112
83,54,34
83,55,9
83,57,54
83,58,2
83,59,6
83,60,10
83,62,1
83,63,18
83,65,18
83,66,4
83,67,46
83,68,7
83,71,35
83,73,1
83,75,2
83,76,18
83,77,18
83,79,176
83,80,18
83,84,46
83,85,65
83,86,3
83,87,18
83,89,18
83,90,12
83,94,19
83,95,12
83,97,148
83,98,18
83,102,18
83,103,8
83,106,7
83,107,8
83,108,123
83,113,29
83,117,18
83,119,18
83,120,19
83,121,1
83,126,19
83,127,39
83,128,18
83,129,2
83,130,34
83,133,18
83,134,34
83,137,8
83,138,10
83,140,10
83,141,63
83,144,10
83,147,13
83,148,102
83,149,18
83,150,19
83,152,2
83,154,25
83,155,10
83,157,18
83,158,66
83,160,41
83,162,5
83,164,6
83,165,10
83,167,10
83,174,35
83,176,18
83,177,18
83,179,14
83,180,19
83,183,8
84,6,2
84,17,9
84,20,22
84,43,1
84,52,1
84,83,11
84,85,2
84,108,2
84,127,1
84,160,1
85,3,1
85,5,1
85,7,4
85,11,9
85,17,4
85,44,1
85,46,1
85,50,4
85,79,5
85,81,4
85,82,1
85,83,33
85,84,1
85,86,1
85,89,4
85,91,4
85,94,4
85,117,1
85,128,5
85,150,4
85,158,16
85,160,1
85,180,11
86,2,6
86,5,2
86,17,1
86,22,11
86,33,6
86,38,1
86,41,7
86,50,2
86,52,2
86,54,6
86,83,7
86,90,6
86,126,12
86,127,6
86,134,8
86,150,1
86,158,6
86,160,20
87,33,14
87,65,7
87,78,4
87,122,1
89,18,57
90,2,5
90,7,2
90,13,2
90,37,3
90,48,2
90,52,3
90,55,5
90,59,1
90,63,3
90,64,1
90,83,11
90,91,1
90,94,16
90,103,2
90,119,5
90,121,22
90,127,19
90,137,13
90,158,7
90,160,3
90,177,1
91,2,2
91,3,7
91,7,2
91,11,4
91,15,63
91,16,2
91,17,2
91,18,9
91,27,6
91,40,2
91,42,70
91,44,6
91,46,4
91,48,38
91,50,2
91,55,2
91,62,49
91,63,51
91,82,5
91,85,6
91,89,6
91,90,52
91,94,44
91,98,3
91,103,46
91,116,16
91,119,50
91,120,2
91,121,36
91,127,55
91,131,105
91,137,40
91,142,19
91,149,2
91,158,6
91,160,8
91,175,2
91,177,50
91,180,6
91,183,4
91,184,2
92,10,62
92,14,85
92,31,82
92,49,12
92,56,12
92,80,8
92,100,4
92,105,10
92,120,64
92,130,56
92,132,4
92,143,61
92,149,60
92,153,4
93,10,56
93,18,10
93,30,7
93,34,1
93,39,92
93,51,6
93,59,3
93,66,356
93,111,1
93,113,16
93,115,6
93,124,8
93,134,2
93,146,41
93,156,20
93,161,12
93,163,5
93,166,3
93,170,4
93,173,23
94,50,1
94,62,2
94,73,1
94,83,6
94,90,4
94,91,1
94,108,1
94,127,3
94,160,2
95,2,8
95,5,8
95,6,11
95,7,8
95,8,10
95,16,8
95,20,8
95,22,8
95,24,11
95,28,11
95,33,8
95,35,8
95,37,8
95,38,4
95,42,8
95,43,8
95,52,13
95,54,8
95,58,13
95,62,8
95,63,8
95,70,8
95,73,4
95,74,14
95,79,8
95,83,11
95,84,8
95,86,8
95,87,8
95,90,12
95,91,8
95,103,8
95,108,11
95,116,8
95,119,8
95,121,8
95,124,1
95,127,8
95,129,11
95,130,8
95,131,8
95,132,8
95,133,8
95,134,8
95,135,8
95,147,4
95,148,11
95,152,11
95,154,12
95,158,8
95,160,8
95,162,11
95,180,8
95,184,8
96,9,5
96,18,1
96,26,11
96,28,1
96,32,2
96,34,10
96,95,2
96,99,68
96,101,32
96,104,35
96,109,6
96,114,12
96,123,3
96,125,68
96,146,2
96,152,5
96,159,1
96,162,1
96,168,2
96,171,32
96,178,6
97,5,3
97,10,1
97,19,3
97,39,8
97,47,6
97,54,2
97,59,1
97,80,6
97,83,42
97,87,5
97,106,2
97,108,23
97,113,8
97,126,1
97,146,2
97,147,1
97,154,3
97,179,6
98,23,10
98,30,12
98,55,1
98,57,11
98,61,1
98,76,1
98,107,1
98,117,1
98,138,4
99,9,22
99,24,7
99,26,5
99,32,3
99,34,7
99,73,2
99,96,20
99,104,109
99,109,10
99,114,194
99,125,223
99,129,1
99,152,7
99,159,8
99,162,1
99,171,24
99,178,16
99,179,19
100,7,9
100,23,44
100,30,7
100,51,24
100,61,16
100,71,5
100,79,8
100,92,3
100,127,5
100,141,3
100,156,21
100,163,1
101,8,1
101,26,2
101,33,32
101,78,5
101,87,1
101,96,13
101,99,2
102,5,7
102,37,2
102,42,10
102,47,4
102,57,8
102,79,15
102,81,22
102,83,8
102,108,8
102,127,3
102,128,18
102,135,5
102,140,12
102,141,8
102,154,18
102,158,8
102,168,18
103,7,3
103,48,7
103,63,7
103,91,1
103,100,3
103,119,7
103,127,4
103,137,7
103,177,8
104,9,14
104,24,3
104,26,12
104,34,18
104,96,37
104,99,44
104,109,27
104,114,13
104,125,58
104,152,6
104,159,9
104,168,15
104,171,25
104,178,29
105,14,1
105,31,1
105,56,5
105,92,1
106,1,32
106,2,39
106,3,32
106,5,41
106,6,7
106,7,41
106,16,32
106,17,32
106,20,32
106,21,32
106,22,39
106,24,8
106,28,40
106,31,32
106,33,32
106,35,3
106,36,32
106,38,42
106,39,41
106,40,32
106,41,32
106,44,32
106,47,3
106,48,32
106,49,32
106,50,32
106,52,14
106,54,8
106,55,32
106,56,32
106,57,3
106,58,28
106,62,32
106,63,33
106,65,32
106,67,64
106,68,32
106,73,1
106,74,8
106,79,16
106,81,32
106,83,159
106,84,39
106,85,32
106,86,36
106,89,32
106,90,40
106,94,32
106,95,32
106,97,1
106,102,32
106,107,32
106,108,101
106,111,32
106,113,10
106,115,6
106,119,32
106,124,6
106,126,32
106,127,39
106,128,32
106,129,118
106,130,39
106,134,42
106,137,32
106,147,4
106,148,28
106,150,32
106,152,5
106,153,32
106,154,21
106,158,40
106,160,45
106,162,46
106,164,21
106,168,3
106,170,38
106,173,41
106,174,3
106,179,6
106,180,32
106,182,22
106,184,4
107,30,21
107,44,2
107,108,2
108,2,66
108,5,43
108,6,16
108,7,97
108,22,30
108,24,1
108,28,5
108,35,74
108,38,70
108,39,35
108,44,1
108,47,7
108,50,19
108,52,83
108,54,20
108,57,7
108,59,1
108,64,1
108,67,6
108,68,2
108,71,1
108,73,4
108,74,8
108,79,61
108,83,175
108,84,67
108,85,7
108,86,21
108,90,69
108,95,3
108,97,5
108,106,10
108,107,1
108,111,2
108,113,19
108,115,111
108,116,6
108,117,1
108,120,2
108,124,7
108,126,10
108,127,71
108,129,10
108,130,21
108,134,112
108,138,2
108,140,2
108,141,7
108,146,12
108,147,5
108,148,64
108,149,2
108,150,1
108,154,115
108,156,1
108,158,66
108,160,97
108,164,7
108,170,29
108,173,22
108,174,3
108,179,10
108,182,2
108,184,40
109,9,5
109,24,9
109,26,40
109,34,9
109,99,53
109,104,20
109,114,18
109,125,24
109,152,3
109,159,145
109,162,4
109,171,6
109,178,2
110,59,39
110,64,42
110,108,1
110,147,21
110,158,2
110,164,68
110,179,18
111,30,5
111,39,79
111,51,72
111,108,2
111,115,14
111,148,1
111,156,160
111,163,61
111,166,71
111,170,224
111,173,74
113,23,1
113,28,33
113,30,2
113,39,99
113,51,2
113,52,12
113,58,17
113,59,2
113,66,86
113,67,6
113,83,18
113,93,2
113,97,2
113,106,6
113,108,27
113,111,2
113,115,133
113,124,20
113,129,2
113,146,53
113,147,7
113,148,9
113,156,2
113,161,4
113,163,2
113,164,10
113,166,2
113,170,2
113,179,2
114,9,16
114,26,1
114,96,5
114,99,66
114,101,8
114,104,17
114,125,26
114,129,4
114,152,12
114,171,14
114,178,9
115,5,38
115,12,12
115,23,14
115,30,8
115,37,2
115,38,1
115,39,47
115,51,8
115,54,4
115,66,54
115,79,2
115,93,6
115,108,111
115,111,39
115,113,36
115,124,12
115,140,5
115,146,34
115,156,297
115,161,40
115,163,57
115,166,81
115,170,377
116,7,119
116,23,4
116,48,5
116,51,110
116,63,11
116,91,2
116,100,3
116,127,11
116,135,1
116,141,3
116,165,5
116,172,33
116,175,68
117,11,13
117,17,1
117,40,15
117,47,3
117,48,13
117,50,8
117,55,5
117,57,3
117,60,3
117,98,12
117,119,13
117,127,13
117,131,1
117,140,3
117,142,3
117,158,11
117,160,22
117,165,3
117,177,16
119,17,2
119,20,42
119,40,199
119,48,27
119,60,13
119,62,10
119,63,126
119,91,3
119,94,10
119,103,1
119,117,1
119,120,1
119,121,17
119,127,68
119,131,2
119,133,10
119,135,3
119,141,28
119,142,56
119,144,22
119,149,6
119,165,25
119,168,49
119,175,2
119,177,60
120,90,1
120,94,1
120,127,3
120,130,2
120,133,1
120,149,1
121,16,3
121,50,1
121,62,1
121,63,1
121,69,1
121,90,1
121,91,8
121,94,4
121,127,1
121,133,2
121,135,4
121,137,3
121,141,4
121,181,4
122,10,2
122,14,1
122,19,10
122,33,3
122,41,93
122,65,6
122,87,4
122,134,1
122,149,3
122,184,1
124,6,1
124,13,9
124,24,2
124,38,7
124,39,22
124,50,1
124,52,1
124,58,1
124,66,14
124,67,1
124,73,2
124,74,2
124,83,5
124,108,12
124,113,24
124,115,18
124,146,17
124,154,3
124,160,1
124,164,2
125,9,6
125,24,2
125,26,9
125,64,1
125,96,115
125,99,192
125,104,191
125,109,4
125,114,132
125,152,7
125,159,9
125,168,6
125,171,5
125,178,2
126,19,8
126,41,2
126,65,9
126,84,4
126,86,2
126,97,4
126,134,1
126,150,4
127,2,9
127,7,245
127,17,8
127,20,4
127,27,4
127,40,45
127,48,225
127,50,1
127,57,8
127,60,73
127,62,270
127,63,312
127,66,4
127,67,7
127,76,1
127,79,13
127,83,40
127,84,1
127,86,1
127,90,248
127,91,31
127,94,345
127,100,4
127,102,4
127,103,283
127,108,8
127,116,6
127,117,2
127,119,338
127,120,12
127,121,282
127,130,5
127,131,6
127,133,330
127,135,255
127,137,281
127,140,4
127,141,96
127,144,38
127,149,27
127,158,10
127,160,27
127,165,35
127,168,22
127,173,7
127,177,347
127,180,1
128,44,3
128,79,10
128,81,13
128,100,1
128,102,3
129,5,3
129,6,10
129,24,3
129,28,25
129,38,8
129,52,52
129,54,12
129,58,7
129,67,249
129,68,10
129,74,11
129,83,21
129,95,22
129,106,18
129,108,65
129,113,3
129,114,49
129,148,15
129,154,24
129,162,11
129,164,28
129,179,10
130,22,1
130,94,2
130,120,3
130,127,2
130,134,2
131,3,7
131,11,15
131,15,88
131,18,15
131,40,22
131,42,41
131,44,15
131,46,15
131,50,7
131,62,8
131,82,15
131,85,18
131,89,15
131,90,2
131,91,90
131,98,1
131,117,2
131,119,4
131,127,13
131,133,1
131,149,1
131,158,15
131,173,4
131,180,15
131,183,15
132,10,2
132,14,4
132,105,3
133,4,3
133,7,17
133,17,2
133,27,3
133,37,23
133,40,20
133,42,20
133,46,17
133,48,20
133,55,17
133,60,3
133,62,20
133,63,22
133,90,17
133,91,3
133,94,21
133,100,17
133,102,17
133,103,17
133,119,20
133,120,20
133,121,21
133,127,27
133,131,17
133,135,3
133,137,18
133,141,3
133,142,3
133,144,3
133,149,18
133,158,17
133,160,17
133,165,3
133,168,23
133,177,22
134,17,2
134,22,35
134,33,5
134,35,13
134,38,2
134,39,20
134,52,24
134,54,10
134,65,6
134,73,1
134,77,1
134,79,2
134,83,56
134,84,4
134,86,32
134,93,1
134,106,5
134,108,46
134,122,4
134,126,7
134,130,2
134,135,1
134,147,1
134,150,18
134,160,12
134,163,4
134,168,1
134,184,22
135,18,1
135,35,1
135,37,15
135,40,6
135,48,3
135,59,1
135,62,2
135,63,3
135,76,9
135,90,2
135,94,6
135,102,7
135,103,3
135,116,1
135,119,7
135,120,4
135,121,5
135,127,5
135,128,3
135,133,35
135,137,3
135,149,1
135,168,10
135,172,9
135,175,4
135,177,3
136,20,6
136,42,24
136,91,2
136,103,1
137,7,32
137,48,15
137,62,2
137,63,15
137,64,24
137,74,1
137,83,1
137,90,18
137,94,15
137,100,13
137,103,19
137,119,13
137,121,18
137,127,31
137,133,2
137,173,5
137,177,12
138,23,3
138,57,12
138,61,4
138,98,24
138,106,3
138,115,6
138,142,7
138,176,7
139,8,4
139,36,5
139,78,4
139,101,4
140,11,5
140,40,6
140,67,11
140,79,4
140,102,8
140,108,11
140,115,6
140,127,4
140,157,4
140,177,4
141,5,7
141,7,7
141,20,14
141,28,8
141,47,12
141,48,118
141,57,24
141,59,27
141,60,52
141,63,63
141,64,19
141,66,4
141,83,61
141,85,4
141,94,201
141,115,6
141,116,4
141,119,88
141,121,24
141,127,173
141,133,27
141,144,23
141,146,17
141,147,17
141,149,15
141,154,4
141,162,6
141,164,27
141,165,34
141,168,18
141,174,4
141,177,55
142,4,8
142,27,88
142,40,121
142,42,19
142,50,27
142,60,15
142,61,4
142,62,55
142,91,73
142,98,4
142,117,4
142,119,64
142,133,3
142,138,4
142,177,15
143,80,3
143,92,6
143,105,1
143,149,1
144,18,4
144,20,4
144,48,4
144,60,8
144,63,12
144,119,4
144,127,4
144,141,17
144,151,60
144,165,8
144,172,3
144,177,27
145,35,3
145,64,2
146,3,2
146,12,2
146,28,8
146,39,32
146,47,2
146,51,6
146,52,8
146,58,33
146,59,42
146,64,36
146,66,30
146,83,4
146,93,10
146,97,16
146,108,4
146,111,4
146,112,2
146,113,159
146,115,8
146,124,29
146,127,2
146,129,4
146,130,2
146,141,2
146,147,31
146,148,2
146,156,6
146,164,78
146,170,2
146,176,2
146,179,2
147,6,6
147,13,2
147,28,26
147,35,96
147,38,2
147,52,18
147,54,7
147,59,144
147,64,237
147,67,5
147,74,76
147,83,48
147,95,13
147,97,6
147,108,37
147,113,4
147,129,9
147,134,11
147,146,2
147,164,476
147,179,6
147,182,12
148,5,2
148,6,4
148,28,26
148,38,5
148,52,8
148,67,3
148,73,1
148,75,2
148,83,20
148,95,3
148,108,4
148,113,2
148,129,5
148,154,5
148,159,1
148,164,1
148,179,3
148,182,2
148,184,1
149,31,1
149,64,11
149,83,1
149,120,10
149,127,2
149,130,1
152,9,2
152,24,46
152,32,1
152,34,45
152,68,1
152,74,1
152,96,1
152,99,3
152,104,13
152,114,3
152,125,11
152,154,9
152,159,26
152,162,60
152,170,2
152,171,1
152,178,225
153,1,6
153,10,13
153,21,14
153,49,14
153,92,6
154,2,18
154,5,24
154,6,6
154,7,3
154,8,16
154,11,16
154,19,16
154,22,16
154,25,16
154,27,17
154,28,117
154,33,16
154,37,20
154,38,6
154,39,1
154,40,27
154,41,16
154,42,16
154,44,16
154,46,16
154,47,3
154,48,16
154,50,16
154,52,35
